AC_POWER,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,datetime,real AC,loss_mae,Threshold,Anomaly,anomalies
860.9305,28.704233,49.445663,0.69520044,2020-06-07 12:15:00,167.2142857,693.7161952570312,200,1,167.2142857
774.71216,28.95093,47.56398,0.6227965,2020-06-07 12:30:00,0.0,774.712158203125,200,1,0.0
756.5721,29.504921,47.730442,0.60724145,2020-06-07 12:45:00,0.0,756.5720825195312,200,1,0.0
712.3958,30.205786,47.415936,0.5696755,2020-06-07 13:00:00,0.0,712.3958129882812,200,1,0.0
717.98114,30.103981,47.440285,0.57444894,2020-06-07 13:15:00,0.0,717.9811401367188,200,1,0.0
637.99615,30.103,45.41927,0.5080627,2020-06-07 13:30:00,0.0,637.9961547851562,200,1,0.0
501.11057,30.134558,41.964745,0.39542866,2020-06-07 13:45:00,111.4857143,389.6248508855469,200,1,111.4857143
776.27,29.702038,48.45193,0.6234578,2020-06-07 14:00:00,565.725,210.54501953124998,200,1,565.725
506.0297,30.828074,42.893013,0.39824942,2020-06-07 14:15:00,0.0,506.0296936035156,200,1,0.0
385.9599,30.55438,39.473484,0.30089185,2020-06-07 14:30:00,0.0,385.95989990234375,200,1,0.0
296.7608,30.02629,36.524223,0.2299729,2020-06-07 14:45:00,90.07142857,206.68937465265626,200,1,90.07142857
