AC_POWER,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,datetime,real AC,loss_mae,Threshold,Anomaly,anomalies
273.15015,29.534737,35.556,0.20911811,2020-06-05 12:45:00,494.0,220.849853515625,200,1,494.0
47.903145,28.329674,28.200216,0.040274236,2020-06-06 07:00:00,249.9857143,202.08256946357423,200,1,249.9857143
847.7455,29.867931,50.423717,0.6695049,2020-06-07 12:15:00,167.2142857,680.5311976984375,200,1,167.2142857
760.64343,29.582058,48.030273,0.59480274,2020-06-07 12:30:00,0.0,760.6434326171875,200,1,0.0
744.1661,29.540659,47.58683,0.58092284,2020-06-07 12:45:00,0.0,744.1660766601562,200,1,0.0
704.7777,29.45777,46.53814,0.5480462,2020-06-07 13:00:00,0.0,704.7777099609375,200,1,0.0
709.435,29.4664,46.66133,0.55191183,2020-06-07 13:15:00,0.0,709.4349975585938,200,1,0.0
636.84973,29.366217,44.764202,0.49228868,2020-06-07 13:30:00,0.0,636.8497314453125,200,1,0.0
508.7933,29.347591,41.51324,0.3900143,2020-06-07 13:45:00,111.4857143,397.3075901433594,200,1,111.4857143
788.94806,29.662575,48.79879,0.61882734,2020-06-07 14:00:00,565.725,223.22305908203123,200,1,565.725
511.60855,29.346226,41.583786,0.3922273,2020-06-07 14:15:00,0.0,511.6085510253906,200,1,0.0
392.07724,29.445084,38.59691,0.29944667,2020-06-07 14:30:00,0.0,392.0772399902344,200,1,0.0
302.86996,29.523184,36.332047,0.23154151,2020-06-07 14:45:00,90.07142857,212.79853602960938,200,1,90.07142857
