AC_POWER,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,datetime,real AC,loss_mae,Threshold,Anomaly,anomalies
546.81195,27.158598,39.58562,0.47902334,2020-06-14 11:00:00,210.9,335.9119506835938,200,1,210.9
440.65747,27.117617,37.06226,0.38358194,2020-06-14 11:15:00,0.0,440.657470703125,200,1,0.0
462.49594,27.043083,37.47136,0.40330502,2020-06-14 11:30:00,0.0,462.4959411621094,200,1,0.0
289.0932,26.111576,32.130215,0.25108498,2020-06-14 11:45:00,0.0,289.09320068359375,200,1,0.0
324.51532,25.388918,32.02389,0.283314,2020-06-14 12:00:00,0.0,324.51531982421875,200,1,0.0
307.9394,25.10418,31.255713,0.26912498,2020-06-14 12:15:00,0.0,307.93939208984375,200,1,0.0
291.1801,25.109703,30.860327,0.25448123,2020-06-14 12:30:00,0.0,291.18011474609375,200,1,0.0
332.86154,25.572203,32.463417,0.2904129,2020-06-14 12:45:00,0.0,332.8615417480469,200,1,0.0
348.14258,25.446142,32.663193,0.30400082,2020-06-14 13:00:00,0.0,348.142578125,200,1,0.0
484.15488,25.995077,36.587254,0.4241549,2020-06-14 13:15:00,0.0,484.1548767089844,200,1,0.0
499.5029,26.789068,37.993034,0.43696898,2020-06-14 13:30:00,0.0,499.5028991699219,200,1,0.0
610.01514,27.12798,40.996056,0.5364432,2020-06-14 13:45:00,0.0,610.01513671875,200,1,0.0
864.4006,27.885038,47.769226,0.7698589,2020-06-14 14:00:00,0.0,864.4005737304688,200,1,0.0
809.6692,28.2821,47.07999,0.71819586,2020-06-14 14:15:00,320.225,489.444189453125,200,1,320.225
